id	off	dup	jp	en	kr
MSG:0:0	00026E		0402cd3bff04001b8e1c153f0c00	<02>Save<00>?¶	<02>세이브<00>할까요?¶
MSG:0:1	00027C		0402cd3bff040001fbab1c0a0402e1e2e73bc53bfc04009c0a0292158411ab17a81a110c00	<02>Saving<00>...\nDo not touch the\n<02>Memory Card<00>¶	<02>세이브<00> 중입니다\n<02>메모리 카드<00>를\n빼지 마세요¶
MSG:0:2	0002A1		01c501b3015f0f0706efe80c00	GP{7:06}Gil¶	소지금 {7:06}길¶
MSG:0:3	0002AE		0f0402cd3bff0400850271028d1b8e1b1f00	<02>Save<00> failed.	 <02>세이브<00>에 실패했습니다
MSG:0:4	0002C0		0402e1e2e73bc53bfc04009e0a1a1abc82118e1d9d00	There is no\n<02>Memory\nCard<00>.	<02>메모리 카드<00>가\n꽂혀 있지 않습니다
MSG:0:5	0002D6		0f890f110a0f11111300	Yes\nNo	 예\n 아니오
MSG:0:6	0002E0		ac8802af8c019f978e1c153f0c00	Floor?¶	몇 층으로 내려갈까요?¶
MSG:0:7	0002EE		d3e6277da885bf3c9d070000	A trap!{7:00}	함정이지롱~{7:00}
MSG:0:8	0002FA		0f0f0f158eac0f0f0f0c00	Furnace¶	   용광로   ¶
MSG:0:9	000305		e7cac1c7e85f27c7cc0c00	Recycle¶	리사이클 박스¶
MSG:0:10	000310		118080800a199dac89849da83c00	Whooa<\n{D}What\nhappened?	아야야야\n이번엔 또 뭐야~
MSG:0:11	00031E		849da82c01c201768801e215950d0a9d3f0a01c201768801e2a8bc823f00	Wah!{D}\nIn front\nof the inn?{D}\nWhy?	뭐야,여관 앞이잖아{D}\n응?\n여관 앞이라고?
MSG:0:12	00033C		8eb72ca88e1a99808ebc1f929d890a1bbf129e84111500	Nothing we\ncan do about{D}\nbeing\ntricked.	뭐,속아 넘어간 건\n어쩔 수 없지
MSG:0:13	000353		ac12939610880217ebe6023301ae880ad05dc95f9e1988f8edf45ded880ad6cb961b118400	The straw\nhat chocobo\nseems to be{D}\nthe keeper\nof the\ndungeon.	아무래도 저 밀짚모자 쓴\n초코보가 이 던전의\n주인인 것 같아
MSG:0:14	000378		1e9d84191fb719881a110aac12ab92111100	We best\nmove on.	그런 건 이제 와서\n아무래도 좋아
