SLPS:0	푸레
SLPS:2	예
SLPS:3	아니오
SLPS:4	결정
SLPS:5	변경
SLPS:6	그만
SLPS:8	6글자까지
SLPS:9	이름
SLPS:10	놓기
SLPS:11	차기
SLPS:12	쓰기
SLPS:13	마시기
SLPS:14	먹기
SLPS:15	장비
SLPS:16	해제
SLPS:17	읽기
SLPS:18	설치
SLPS:19	넣기
SLPS:20	줍기
SLPS:21	교환
SLPS:22	발톱
SLPS:23	안장
SLPS:24	목걸이
SLPS:25	책
SLPS:26	마석
SLPS:27	구슬
SLPS:28	약
SLPS:29	씨·열매
SLPS:30	카드
SLPS:31	기타
SLPS:32	카드 없이는 세이브할 수 없습니다\n도중에 카드를 꽂아도 세이브할 수\n없으니 주의해 주세요\n본체 전원을 끄거나 리셋하면\n모험 내용이 사라집니다
SLPS:33	메모리 카드에 빈 블록이 없습니다
SLPS:34	새로운 모험을 시작
SLPS:35	모험을 계속한다
SLPS:36	모험 복사
SLPS:37	모험 삭제
SLPS:38	슬롯1로 모험 시작
SLPS:39	슬롯2로 모험 시작
SLPS:40	메모리 카드 안 씀
SLPS:41	슬롯1에서 계속한다
SLPS:42	슬롯2에서 계속한다
SLPS:43	슬롯1의 모험 복사
SLPS:44	슬롯2의 모험 복사
SLPS:45	슬롯1의 모험 삭제
SLPS:46	슬롯2의 모험 삭제
SLPS:47	레벨UP까지
SLPS:48	최심층
SLPS:49	소지금
SLPS:50	길
SLPS:51	공격력
SLPS:52	방어력
SLPS:53	ATB
SLPS:54	남은
SLPS:55	특방어
SLPS:56	녹아웃
SLPS:57	아이템
SLPS:58	설정
SLPS:59	발밑
SLPS:60	독해LV
SLPS:61	다음 층으로
SLPS:62	세이브하고 간다
SLPS:63	그만둔다
SLPS:64	맡긴다
SLPS:65	꺼낸다
SLPS:66	창고
SLPS:67	미니맵 표시
SLPS:68	미니맵 크기
SLPS:69	ATB바 표시
SLPS:70	ATB바 진행
SLPS:71	메시지 속도
SLPS:72	창 배경
SLPS:73	창 반투명
SLPS:74	사운드
SLPS:75	걸은 곳
SLPS:76	들어간 곳
SLPS:77	크게
SLPS:78	작게
SLPS:79	투명
SLPS:80	불투명
SLPS:81	앞
SLPS:82	뒤
SLPS:83	빠름
SLPS:84	보통
SLPS:85	느림
SLPS:86	  1
SLPS:87	  2
SLPS:88	  3
SLPS:89	  4
SLPS:90	  5
SLPS:91	  6
SLPS:92	  7
SLPS:93	  8
SLPS:94	ON
SLPS:95	OFF
SLPS:96	스테레오
SLPS:97	모노
SLPS:98	와이드
SLPS:99	산다
SLPS:100	판다
SLPS:101	계단
SLPS:102	세이브
SLPS:103	조사
SLPS:104	아이템 도감
SLPS:105	몬스터 도감
SLPS:106	슬롯
SLPS:107	사용하지 않음
SLPS:108	CD 커버 열림
SLPS:109	다른 디스크입니다
SLPS:110	데이터 파일 세이브 중입니다\n메모리 카드와 컨트롤러를\n뽑거나 꽂지 마세요
SLPS:111	에러4
SLPS:112	에러5
SLPS:113	에러6
SLPS:114	에러7
SLPS:115	데이터 파일 로드 중\n메모리 카드와 컨트롤러를\n뽑거나 꽂지 마세요
SLPS:116	데이터 파일 세이브 중\n메모리 카드와 컨트롤러를\n뽑거나 꽂지 마세요
SLPS:117	메모리 카드 확인 중\n메모리 카드와 컨트롤러를\n뽑거나 꽂지 마세요
SLPS:118	데이터 파일 복사 중\n메모리 카드와 컨트롤러를\n뽑거나 꽂지 마세요
SLPS:119	데이터 파일 삭제 중\n메모리 카드와 컨트롤러를\n뽑거나 꽂지 마세요
SLPS:120	데이터 파일 작성 중\n메모리 카드와 컨트롤러를\n뽑거나 꽂지 마세요
SLPS:121	카드가 포맷되지 않았습니다\n포맷하겠습니까?
SLPS:122	메모리 카드 포맷 중\n메모리 카드와 컨트롤러를\n뽑거나 꽂지 마세요
SLPS:123	번에 새 모험을 기록할까요?
SLPS:124	번 모험을 지울까요?
SLPS:125	번의 모험을 계속할까요?
SLPS:126	번에 복사할까요?
SLPS:127	데이터 파일을 덮어씁니다\n데이터 파일을 세이브할까요?
SLPS:128	메모리 카드에 파일이 없습니다
SLPS:129	카드가 꽂혀 있지 않습니다
SLPS:130	카드가 포맷되지 않았습니다
SLPS:131	덮어쓸까요?
SLPS:132	데이터 파일이 없습니다
SLPS:133	데이터 파일을 만들지 못했습니다
SLPS:134	데이터 파일을 로드하지 못했습니다
SLPS:135	데이터 파일을 삭제하지 못했습니다
SLPS:137	데이터 파일을 복사하지 못했습니다
